,Date,Description,Amount,Fees,Net,Total,Details,Name
21,"Jan 18, 2024",Order,$23.70,-$3.44,$20.26,$35.96,,Banana Republic Authentic Tee Grey Medium Men’s 
22,"Jan 18, 2024",Shipping label,-$10.03,,-$10.03,$15.70,,
23,"Jan 18, 2024",Order,$30.40,-$4.67,$25.73,$25.73,,TCX Blaze Boots Mens Motorcycle Size 9
24,"Jan 11, 2024",Payout,,,-$10.26,$0.00,,
25,"Jan 5, 2024",Shipping label,-$8.31,,-$8.31,$10.26,,
26,"Jan 5, 2024",Order,$21.75,-$3.18,$18.57,$18.57,,J Crew 1/4 Button Polo King Sleeve Shirt Large Navy
27,"Jan 3, 2024",Payout,,,-$12.42,$0.00,,
28,"Dec 29, 2023",Shipping label,-$6.44,,-$6.44,$12.42,,
29,"Dec 29, 2023",Order,$22.25,-$3.39,$18.86,$18.86,,"The Gazebo Restaurant Maui, Hawaii - XL - Single Stitch Hanes Beefy T - Sky Blue"
0,"Apr 2, 2024",Shipping label,$6.09,,$6.09,$80.00,,
1,"Apr 1, 2024",Shipping label,-$8.52,,-$8.52,$73.91,,
2,"Apr 1, 2024",Order,$63.60,-$9.31,$54.29,$82.43,,CAbi Exec Cardigan #4470 Size M + Intersect Tank #4576 (2 Piece Set)
3,"Apr 1, 2024",Shipping label,-$6.16,,-$6.16,$28.14,,
4,"Apr 1, 2024",Order,$40.00,-$5.70,$34.30,$34.30,,CAbi Manhattan Dress #4614 Size S
5,"Mar 31, 2024",Payout,,,-$69.08,$0.00,,
6,"Mar 29, 2024",Ad Fee Standard,,$0.74,$0.74,$69.08,,
7,"Mar 29, 2024",Refund,-$4.10,$0.59,-$3.51,$68.34,,
8,"Mar 29, 2024",Shipping label,-$6.16,,-$6.16,$71.85,,
9,"Mar 29, 2024",Ad Fee Standard,,-$10.35,-$10.35,$78.01,,
10,"Mar 29, 2024",Order,$57.70,-$8.66,$49.04,$88.36,,Cabi New NWT Yorkshire Shacket #4298 Beige plaid S
11,"Mar 29, 2024",Shipping label,-$4.43,,-$4.43,$39.32,,
12,"Mar 29, 2024",Order,$33.95,-$5.31,$28.64,$43.75,,CAbi New Complete Top #4552 Size S
13,"Mar 29, 2024",Payout,,,-$64.25,$15.11,,
14,"Mar 28, 2024",Ad Fee Standard,,-$1.92,-$1.92,$79.36,,
15,"Mar 28, 2024",Shipping label,-$4.55,,-$4.55,$81.28,,
16,"Mar 28, 2024",Order,$18.05,-$2.94,$15.11,$85.83,,Duke’s Malibu Men’s T Shirt Large Vintage Single Stitch Hanes Beefy T
17,"Mar 27, 2024",Shipping label,-$11.97,,-$11.97,$70.72,,
18,"Mar 27, 2024",Order,$61.40,-$8.89,$52.51,$82.69,,CAbi Zip Cardigan #4466 | Size M | Color Heather Oatmeal
19,"Mar 27, 2024",Shipping label,-$4.43,,-$4.43,$30.18,,
20,"Mar 27, 2024",Order,$40.95,-$6.34,$34.61,$34.61,,CAbi Bitmap Top #6317 Size M
21,"Mar 26, 2024",Payout,,,-$47.88,$0.00,,
22,"Mar 25, 2024",Shipping label,-$6.09,,-$6.09,$47.88,,
23,"Mar 25, 2024",Payout,,,-$38.87,$53.97,,
24,"Mar 24, 2024",Order,$63.60,-$9.63,$53.97,$92.84,,CAbi Coming Up Roses Cardigan #4465 Size M
25,"Mar 24, 2024",Payout,,,-$30.58,$38.87,,
26,"Mar 23, 2024",Shipping label,-$4.31,,-$4.31,$69.45,,
27,"Mar 23, 2024",Order,$45.85,-$6.98,$38.87,$73.76,,CAbi Voyage Blouse #4535 Size M
28,"Mar 23, 2024",Payout,,,-$6.24,$34.89,,
29,"Mar 22, 2024",Shipping label,-$4.47,,-$4.47,$41.13,,
